symbol,coverage_start,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,fees,slippage,net_pnl,return,exit_reason,holding_days,strategy_version,suspended_during_hold
06938.HK,20260109,20260112,85.43534999999999,20260114,78.52192147799998,1170,-8088.7113707399985,322.0666572843719,191.82211073999213,-8410.77802802437,-0.084141976,stop_loss,3,improved_grey_market_filter,False
07630.HK,20260513,20260514,43.10306,20260514,39.6151603848,2320,-8091.927107263997,322.1946976440192,191.89837126399823,-8414.121804908016,-0.08414197599999998,stop_loss,1,improved_grey_market_filter,False
00068.HK,20260417,20260420,19.47946,20260420,23.351976648,5133,19877.627954184005,383.6902133112048,219.8738618159863,19493.9377408728,0.19496264000000005,take_profit,1,reversal_first_day_daily,False
00664.HK,20260331,20260401,29.8298,20260401,27.415972584,3352,-8091.149498432002,322.1637357434496,191.87993043199532,-8413.313234175452,-0.08414197600000002,stop_loss,1,reversal_first_day_daily,False
00901.HK,20260527,20260528,58.558499999999995,20260529,70.19992979999999,1707,19871.920668599996,383.5800477709199,219.81073139998475,19488.340620829076,0.19496264,take_profit,2,reversal_first_day_daily,False
01609.HK,20260505,20260506,220.21999999999997,20260506,202.3997976,454,-8090.371889599992,322.13277384287994,191.86148959998172,-8412.504663442873,-0.08414197599999994,stop_loss,1,reversal_first_day_daily,False
01641.HK,20260113,20260114,13.012999999999998,20260114,11.959988039999999,7684,-8091.34390064,322.171476218592,191.8845406399882,-8413.515376858591,-0.08414197600000001,stop_loss,1,reversal_first_day_daily,False
01768.HK,20260128,20260129,392.79239999999993,20260202,391.608,254,-300.8375999999844,338.55367392,199.23759999998686,-639.3912739199843,-0.006408699557323254,holding_period,3,reversal_first_day_daily,False
01779.HK,20260605,20260608,130.13,20260608,119.5998804,768,-8087.131852799997,322.00376592384,191.78465279999364,-8409.135618723838,-0.08414197599999998,stop_loss,1,reversal_first_day_daily,False
02290.HK,20260605,20260608,2.7827799999999994,20260608,2.5575974423999996,35935,-8091.935207355986,322.19502016381676,191.89856335598625,-8414.130227519803,-0.08414197599999988,stop_loss,1,reversal_first_day_daily,False
